EmployeeID,Age,Department,DistanceFromHome,EducationField,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,YearsAtCompany,OverTime,Attrition
178,51,Research & Development,21,Technical Degree,Sales Representative,Medium,42383,0,1,No,Yes
179,34,Marketing,1,Other,Research Scientist,Medium,31756,4,6,Yes,Yes
180,64,Finance,10,Marketing,Manager,High,39627,3,1,No,No
181,43,Research & Development,8,Life Sciences,Healthcare Representative,High,16534,1,1,Yes,Yes
182,28,Sales,1,Human Resources,Manufacturing Director,High,37823,2,1,Yes,No
183,26,Sales,2,Life Sciences,Sales Representative,Low,46092,4,6,No,No
184,41,Sales,3,Human Resources,Research Director,Low,28426,4,4,No,Yes
185,34,Marketing,1,Other,Manufacturing Director,Medium,34622,1,10,No,No
186,44,Marketing,2,Technical Degree,Sales Executive,High,20832,3,1,No,Yes
187,41,Research & Development,3,Marketing,Sales Executive,High,19435,5,5,No,No
188,36,Finance,4,Marketing,Sales Executive,High,40352,1,6,No,No
189,28,Research & Development,13,Marketing,Sales Executive,Medium,25215,3,0,No,Yes
190,21,Human Resources,8,Other,Healthcare Representative,Medium,14936,2,2,No,No
191,32,Sales,42,Human Resources,Manufacturing Director,Medium,20829,2,3,Yes,Yes
192,45,Sales,5,Marketing,Human Resources,Low,22399,1,2,Yes,Yes
193,39,Sales,14,Life Sciences,Laboratory Technician,Low,53492,2,1,No,Yes
194,24,Research & Development,20,Marketing,Sales Representative,High,39717,3,5,No,No
195,38,Research & Development,11,Other,Research Director,Medium,23486,5,1,Yes,Yes
196,40,Sales,5,Technical Degree,Manager,Medium,27068,5,6,No,No
197,28,Research & Development,14,Life Sciences,Sales Executive,Low,69985,2,13,No,No
198,38,Marketing,2,Marketing,Research Director,High,57991,3,4,No,No
199,37,Marketing,3,Marketing,Laboratory Technician,Medium,20763,0,4,Yes,Yes
200,25,Research & Development,7,Medical,Research Director,Medium,64975,4,0,No,No
201,40,Sales,8,Human Resources,Manufacturing Director,High,34880,2,9,No,No
202,42,Research & Development,1,Life Sciences,Research Director,Medium,54165,6,1,No,Yes
203,47,Research & Development,29,Medical,Sales Executive,Medium,33468,2,4,Yes,Yes
204,47,Research & Development,11,Technical Degree,Laboratory Technician,Low,65703,4,19,Yes,No
205,23,Human Resources,6,Human Resources,Manager,Low,20336,4,4,No,No
206,27,Marketing,27,Life Sciences,Human Resources,High,31961,2,6,No,Yes
207,42,Finance,5,Marketing,Research Scientist,High,66717,4,2,No,No
208,42,Finance,39,Life Sciences,Sales Executive,Medium,10978,1,0,No,No
209,42,Human Resources,7,Marketing,Laboratory Technician,Medium,35488,1,7,No,No
210,65,Research & Development,1,Human Resources,Manufacturing Director,Medium,29828,3,0,Yes,Yes
211,42,Human Resources,14,Marketing,Healthcare Representative,Low,51140,4,6,No,Yes
212,48,Human Resources,11,Technical Degree,Laboratory Technician,Medium,62004,2,0,Yes,Yes
213,46,Sales,14,Other,Research Scientist,Medium,52320,2,9,No,No
214,43,Marketing,30,Marketing,Research Scientist,Medium,40966,4,0,No,No
215,33,Finance,14,Technical Degree,Sales Representative,High,37059,2,3,No,Yes
216,44,Research & Development,9,Other,Human Resources,Medium,30596,1,4,Yes,No
217,29,Finance,19,Human Resources,Research Scientist,Low,40335,3,3,Yes,Yes
218,34,Finance,11,Human Resources,Sales Representative,Medium,75344,0,2,No,No
219,32,Marketing,5,Life Sciences,Sales Representative,High,23974,1,3,No,No
220,37,Finance,21,Technical Degree,Sales Representative,Medium,29701,3,1,No,No
221,60,Finance,2,Technical Degree,Laboratory Technician,Low,34969,3,2,No,Yes
222,18,Human Resources,12,Medical,Sales Representative,Medium,59902,2,2,No,No
223,43,Marketing,21,Medical,Sales Executive,High,40605,0,4,No,No
224,20,Sales,13,Other,Sales Executive,Medium,59381,4,1,Yes,No
225,32,Research & Development,11,Other,Healthcare Representative,High,60904,1,22,No,No
226,47,Finance,13,Medical,Research Scientist,High,48826,3,3,No,No
227,37,Research & Development,6,Other,Human Resources,High,21332,1,1,No,No
228,26,Sales,20,Marketing,Sales Representative,Medium,83328,3,3,No,No
229,29,Research & Development,2,Medical,Manufacturing Director,Medium,73584,4,10,Yes,No
230,43,Sales,1,Technical Degree,Manufacturing Director,Low,37487,2,0,Yes,Yes
231,29,Human Resources,3,Marketing,Research Scientist,High,18198,2,5,Yes,Yes
232,39,Finance,7,Other,Healthcare Representative,Medium,16643,0,3,No,No
233,37,Sales,7,Human Resources,Manufacturing Director,Low,41239,3,0,No,No
234,30,Research & Development,17,Life Sciences,Sales Executive,Medium,25568,2,8,No,No
235,58,Finance,5,Medical,Research Director,Medium,15388,3,2,Yes,Yes
236,43,Human Resources,6,Human Resources,Laboratory Technician,Medium,16486,2,1,Yes,No
237,18,Finance,1,Other,Manager,Medium,28710,6,8,Yes,Yes
238,38,Sales,5,Technical Degree,Manufacturing Director,Medium,40033,3,5,No,No
239,30,Human Resources,10,Life Sciences,Human Resources,High,73339,1,11,Yes,Yes
240,45,Research & Development,1,Human Resources,Sales Representative,Medium,46263,2,4,Yes,Yes
241,29,Human Resources,3,Life Sciences,Human Resources,Medium,30010,3,6,No,No
242,35,Human Resources,2,Medical,Laboratory Technician,Medium,43913,5,9,No,No
243,42,Marketing,1,Other,Sales Executive,Medium,41994,4,0,No,No
244,45,Human Resources,6,Technical Degree,Healthcare Representative,High,52563,1,7,Yes,Yes
245,24,Human Resources,2,Other,Laboratory Technician,Medium,35597,0,4,No,Yes
246,33,Finance,13,Life Sciences,Manager,Medium,60967,7,0,No,Yes
247,32,Research & Development,18,Human Resources,Research Director,Low,54842,4,3,Yes,No
248,30,Finance,7,Medical,Manufacturing Director,High,37848,1,0,Yes,Yes
249,54,Finance,40,Medical,Healthcare Representative,Medium,34213,1,6,No,No
250,41,Sales,5,Other,Healthcare Representative,High,57519,5,3,No,No
251,24,Finance,7,Human Resources,Manufacturing Director,Low,25419,7,15,Yes,Yes
252,46,Marketing,45,Human Resources,Manufacturing Director,Medium,17097,2,1,No,No
253,58,Marketing,2,Life Sciences,Manufacturing Director,Medium,17049,4,4,No,No
254,47,Sales,28,Other,Manufacturing Director,High,24387,2,1,Yes,Yes
255,21,Research & Development,1,Other,Manufacturing Director,Medium,50504,1,4,No,No
256,32,Research & Development,5,Marketing,Healthcare Representative,High,29395,5,6,No,No
257,49,Finance,1,Other,Research Scientist,Medium,40225,6,6,No,No
258,29,Finance,13,Medical,Research Scientist,Medium,28349,1,8,No,No
259,41,Finance,9,Life Sciences,Human Resources,Low,28461,2,9,Yes,No
260,44,Research & Development,12,Human Resources,Research Scientist,High,21747,0,0,Yes,No
261,27,Human Resources,4,Other,Manager,Medium,34684,2,2,No,No
262,36,Marketing,4,Life Sciences,Research Scientist,High,33270,4,5,No,No
263,18,Human Resources,1,Other,Healthcare Representative,High,44637,2,3,No,Yes
264,26,Human Resources,4,Human Resources,Manufacturing Director,High,41933,2,1,No,Yes
265,34,Research & Development,26,Technical Degree,Sales Representative,Medium,32906,1,4,No,No
266,24,Human Resources,4,Human Resources,Sales Representative,Medium,17102,3,2,No,Yes
267,53,Sales,17,Human Resources,Manager,High,62024,2,2,No,No
268,22,Finance,18,Human Resources,Healthcare Representative,Low,34803,2,8,No,No
269,32,Sales,4,Other,Sales Executive,Medium,37790,1,2,No,No
270,38,Marketing,9,Marketing,Laboratory Technician,Low,80841,4,0,Yes,Yes
271,51,Finance,1,Human Resources,Human Resources,Medium,57188,4,0,No,No
272,22,Human Resources,1,Medical,Sales Executive,Low,45398,3,9,No,Yes
273,48,Marketing,1,Medical,Healthcare Representative,Low,36273,2,16,Yes,Yes
274,37,Finance,8,Life Sciences,Research Scientist,Medium,36104,6,5,No,No
275,27,Human Resources,5,Marketing,Manufacturing Director,Medium,40947,2,2,No,Yes
276,41,Sales,7,Life Sciences,Sales Executive,Medium,44509,3,13,No,No
277,38,Finance,7,Medical,Laboratory Technician,Low,85451,2,5,Yes,No
278,30,Human Resources,4,Medical,Sales Representative,Medium,125070,5,9,No,No
279,37,Sales,11,Technical Degree,Laboratory Technician,Low,41987,2,7,Yes,Yes
280,33,Marketing,14,Human Resources,Manufacturing Director,Medium,12374,2,2,No,No
281,38,Marketing,1,Medical,Research Scientist,Medium,22564,5,3,Yes,Yes
282,43,Marketing,2,Other,Laboratory Technician,Medium,89836,2,1,No,No
283,52,Marketing,12,Other,Human Resources,High,52017,2,1,No,No
284,24,Research & Development,4,Life Sciences,Laboratory Technician,Medium,44937,6,7,No,No
285,58,Finance,10,Life Sciences,Healthcare Representative,High,33409,0,11,No,No
286,18,Finance,4,Human Resources,Research Scientist,Medium,20040,4,6,No,No
287,35,Research & Development,4,Human Resources,Manufacturing Director,Medium,84027,0,3,Yes,Yes
288,42,Human Resources,1,Technical Degree,Sales Representative,Medium,24062,3,0,Yes,Yes
289,39,Human Resources,2,Marketing,Sales Representative,Low,52294,2,0,Yes,Yes
290,30,Marketing,9,Life Sciences,Laboratory Technician,Medium,18951,3,2,Yes,Yes
291,34,Sales,5,Human Resources,Healthcare Representative,Medium,32608,4,3,No,No
292,32,Human Resources,14,Life Sciences,Sales Executive,Medium,59663,2,4,No,No
293,31,Sales,19,Human Resources,Sales Executive,Low,32053,8,0,Yes,Yes
294,45,Finance,7,Medical,Healthcare Representative,Low,30205,0,22,No,Yes
295,40,Sales,14,Life Sciences,Human Resources,High,36509,6,2,No,No
296,30,Finance,3,Medical,Sales Executive,Medium,18620,3,9,Yes,No
297,45,Research & Development,5,Life Sciences,Sales Executive,Low,16948,1,3,No,No
298,40,Research & Development,12,Marketing,Manufacturing Director,Medium,51902,1,0,No,Yes
299,45,Marketing,4,Technical Degree,Manufacturing Director,Medium,29404,2,7,No,No
300,43,Human Resources,8,Other,Research Scientist,High,51701,3,6,No,No
301,28,Marketing,2,Other,Human Resources,Low,63518,5,3,No,Yes
302,31,Finance,9,Other,Human Resources,Medium,66126,0,3,Yes,No
303,44,Marketing,19,Medical,Research Scientist,High,16147,1,0,No,No
304,43,Sales,20,Human Resources,Human Resources,Low,25618,2,5,No,Yes
305,36,Finance,12,Other,Manager,Medium,47514,3,12,No,No
306,38,Research & Development,13,Marketing,Research Director,High,47882,2,0,No,No
307,49,Human Resources,8,Other,Manufacturing Director,Medium,111828,4,1,No,Yes
308,31,Finance,8,Life Sciences,Research Scientist,Medium,23067,3,11,No,No
309,42,Finance,1,Medical,Research Scientist,Low,65126,2,1,No,No
310,34,Sales,5,Life Sciences,Human Resources,Low,43745,2,5,No,No
311,34,Human Resources,5,Life Sciences,Sales Executive,Medium,15992,3,3,No,No
312,47,Research & Development,31,Life Sciences,Sales Representative,High,27614,2,4,No,No
313,45,Finance,5,Technical Degree,Laboratory Technician,Medium,41409,1,2,No,No
314,45,Finance,7,Technical Degree,Laboratory Technician,High,15487,3,1,No,Yes
315,50,Sales,7,Human Resources,Research Scientist,High,12875,7,0,No,Yes
316,37,Marketing,10,Medical,Manager,Medium,15053,3,6,Yes,Yes
317,43,Research & Development,13,Marketing,Research Scientist,Low,41339,2,6,Yes,No
318,33,Human Resources,2,Marketing,Manufacturing Director,Medium,28500,5,5,No,No
319,40,Finance,7,Marketing,Human Resources,High,26636,1,5,No,No
320,35,Finance,17,Life Sciences,Human Resources,High,27097,1,1,Yes,No
321,37,Research & Development,6,Technical Degree,Manager,Low,17817,1,0,No,No
322,42,Marketing,3,Medical,Manufacturing Director,Medium,28905,4,8,No,No
323,28,Finance,10,Life Sciences,Sales Representative,Medium,14614,2,3,Yes,No
324,57,Research & Development,17,Technical Degree,Sales Executive,High,65763,3,1,Yes,No
325,26,Sales,1,Technical Degree,Manufacturing Director,Low,84640,3,0,No,Yes
326,24,Marketing,14,Other,Healthcare Representative,Medium,11349,2,0,Yes,Yes
327,48,Human Resources,17,Other,Research Director,High,28722,0,2,No,No
328,44,Finance,6,Medical,Research Scientist,Medium,29673,1,8,No,Yes
329,43,Research & Development,40,Medical,Healthcare Representative,Medium,33281,2,12,No,Yes
330,43,Sales,15,Medical,Manager,Low,59919,2,11,No,No
331,36,Human Resources,14,Life Sciences,Healthcare Representative,Medium,28764,0,12,No,No
332,28,Research & Development,13,Human Resources,Human Resources,Medium,34747,0,11,No,No
333,37,Research & Development,1,Medical,Sales Executive,High,161059,3,3,No,No
334,30,Human Resources,2,Other,Laboratory Technician,Medium,34349,1,1,No,No
335,46,Sales,6,Human Resources,Research Scientist,Medium,87826,6,7,No,No
336,35,Sales,3,Life Sciences,Laboratory Technician,Medium,46676,3,1,No,No
337,28,Marketing,5,Human Resources,Human Resources,Low,27533,0,1,No,No
338,33,Finance,21,Marketing,Human Resources,Medium,25327,3,1,No,No
339,41,Human Resources,17,Human Resources,Research Scientist,High,36183,1,3,Yes,No
340,31,Human Resources,9,Medical,Laboratory Technician,High,20676,3,1,Yes,No
341,28,Human Resources,19,Life Sciences,Manufacturing Director,Medium,23577,2,0,No,Yes
342,39,Sales,15,Medical,Human Resources,Medium,29391,2,3,No,No
343,39,Finance,5,Other,Laboratory Technician,Low,42052,1,10,No,No
344,31,Marketing,2,Marketing,Sales Representative,High,90490,5,4,No,No
345,32,Research & Development,7,Other,Laboratory Technician,Low,28496,2,10,Yes,No
346,39,Research & Development,13,Medical,Sales Representative,High,45741,0,1,No,Yes
347,22,Human Resources,5,Medical,Sales Representative,Medium,16091,3,0,Yes,No
348,22,Finance,10,Medical,Human Resources,High,61706,2,4,No,No
349,29,Sales,1,Technical Degree,Research Scientist,High,15354,4,3,No,No
350,34,Finance,13,Marketing,Manager,High,54132,2,5,No,No
351,40,Finance,16,Medical,Human Resources,Medium,34875,4,7,No,No
352,51,Sales,12,Medical,Research Scientist,Medium,34189,5,6,Yes,No
353,45,Human Resources,34,Other,Research Scientist,Medium,31252,1,14,No,No
354,35,Finance,17,Other,Healthcare Representative,High,18946,4,2,Yes,No
355,36,Research & Development,23,Medical,Research Director,Low,19455,1,1,Yes,Yes
356,26,Sales,27,Life Sciences,Human Resources,High,55174,3,4,Yes,Yes
357,36,Marketing,16,Technical Degree,Research Scientist,High,36532,2,0,No,No
